PageID,PageName,Slug,Locale,Archetype,PrimaryKeyword,SecondaryKeywords,SemanticKeywords,AEOQuery,BrandedKeyword,SearchIntent,TargetLanguage,CanonicalURL,SuggestedInternalLinks,KeywordSource
home_en,Home,en,en,Home,kairali guru ayurveda training,"ayurveda certification course, kerala ayurveda training","learn ayurveda, ayurvedic studies program, ayurvedic education programs",What is Kairali Guru?,kairali guru,Branded / Navigational / Commercial,en,https://kairali.guru/en,"/en/courses, /en/contact",SEMrush / supplied research
home_de,Home,de,de,Home,Ayurveda-Ausbildung,"Ayurveda Ausbildung Kerala, authentische Ayurveda Ausbildung","Ayurveda in Kerala lernen, Ayurveda-Ausbildung Erfahrungen, Ayurveda-Therapeut Ausbildung",Was ist Kairali Guru?,kairali guru,Branded / Navigational / Commercial,de,https://kairali.guru/de,"/de/courses, /de/contact",SEMrush / supplied research
home_fr,Home,fr,fr,Home,formation Ayurveda,"formation ayurvédique, formation Ayurveda Kerala","apprendre l'ayurveda en Inde, formation Ayurveda certifiante, praticien en ayurvéda",Qu'est-ce que Kairali Guru ?,kairali guru,Branded / Navigational / Commercial,fr,https://kairali.guru/fr,"/fr/courses, /fr/contact",SEMrush / supplied research
home_ar,Home,ar,ar,Home,دورة الأيورفيدا,"تعلم الأيورفيدا, دبلوم الأيورفيدا","دورة الأيورفيدا في كيرالا, الأيورفيدا للمبتدئين, الأيورفيدا الأصيلة",ما هو كايرالي غورو؟,كايرالي غورو,Branded / Navigational / Commercial,ar,https://kairali.guru/ar,"/ar/courses, /ar/contact",SEMrush / supplied research
home_ru,Home,ru,ru,Home,обучение аюрведе,"курсы аюрведы, обучение аюрведе в Керале","аутентичная аюрведа Керала, обучение аюрведе in Индии, аюрведа обучение с нуля",Что такое Kairali Guru?,kairali guru,Branded / Navigational / Commercial,ru,https://kairali.guru/ru,"/ru/courses, /ru/contact",SEMrush / supplied research
courses_hub_en,Courses Hub,en/courses,en,Hub,ayurveda course,"ayurveda training course, ayurveda certification course","ayurveda online course, diploma in ayurveda, panchakarma course",What Ayurveda courses does Kairali Guru offer?,kairali guru,Commercial / Informational,en,https://kairali.guru/en/courses,"/en/courses, /en/contact",SEMrush / supplied research
courses_hub_de,Courses Hub,de/courses,de,Hub,Ayurveda Ausbildung,"Ayurveda Zertifikatskurse, Ayurveda-Ausbildung Kosten","Ayurveda online lernen, Panchakarma-Ausbildung, Ayurveda Massage Ausbildung",Welche Ayurveda-Ausbildungen bietet Kairali Guru an?,kairali guru,Commercial / Informational,de,https://kairali.guru/de/courses,"/de/courses, /de/contact",SEMrush / supplied research
courses_hub_fr,Courses Hub,fr/courses,fr,Hub,formation Ayurveda,"formations & certificats en Ayurveda, formation praticien ayurveda","formation Ayurveda en ligne, massage ayurvédique formation, apprendre l'ayurveda",Quelles formations en Ayurveda sont proposées par Kairali Guru ?,kairali guru,Commercial / Informational,fr,https://kairali.guru/fr/courses,"/fr/courses, /fr/contact",SEMrush / supplied research
courses_hub_ar,Courses Hub,ar/courses,ar,Hub,دورات وشهادات الأيورفيدا,"دورات الأيورفيدا, دبلوم الأيورفيدا","دورة الأيورفيدا عبر الإنترنت, دورة التدليك الأيورفيدي, تعلم الأيورفيدا",ما هي دورات الأيورفيدا التي يقدمها كايرالي غورو؟,كايرالي غورو,Commercial / Informational,ar,https://kairali.guru/ar/courses,"/ar/courses, /ar/contact",SEMrush / supplied research
courses_hub_ru,Courses Hub,ru/courses,ru,Hub,курсы аюрведы,"сертификационный курс аюрведы, обучение аюрведе стоимость","курсы аюрведы онлайн, аюрведический массаж обучение, диплом по аюрведе",Какие курсы по Аюрведе предлагает Kairali Guru?,kairali guru,Commercial / Informational,ru,https://kairali.guru/ru/courses,"/ru/courses, /ru/contact",SEMrush / supplied research
oap_en,One-Day Ayurveda Workshop (OAP),en/courses/one-day-ayurveda-workshop,en,Course,one day ayurveda workshop,"ayurveda foundation course, beginner ayurveda","what is included in an ayurveda training course, ayurveda retreat with training",What is the One-Day Ayurveda Workshop at Kairali Guru?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/one-day-ayurveda-workshop,"/en/courses, /en/contact",SEMrush / supplied research
oap_de,One-Day Ayurveda Workshop (OAP),de/courses/one-day-ayurveda-workshop,de,Course,one day ayurveda workshop,"Ayurveda Grundkurs, Ayurveda für Einsteiger","Ayurveda Schnupperkurs, Ayurveda Heildorf Kurzaufenthalt",Was ist der eintägige Ayurveda-Workshop bei Kairali Guru?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/one-day-ayurveda-workshop,"/de/courses, /de/contact",SEMrush / supplied research
oap_fr,One-Day Ayurveda Workshop (OAP),fr/courses/one-day-ayurveda-workshop,fr,Course,one day ayurveda workshop,"initiation ayurveda, atelier ayurveda kerala","apprendre l'ayurveda en 1 jour, massage abhyanga initiation",En quoi consiste l'atelier d'Ayurveda d'un jour chez Kairali Guru ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/one-day-ayurveda-workshop,"/fr/courses, /fr/contact",SEMrush / supplied research
oap_ar,One-Day Ayurveda Workshop (OAP),ar/courses/one-day-ayurveda-workshop,ar,Course,one day ayurveda workshop,"دورة الأيورفيدا للمبتدئين, ورشة الأيورفيدا كيرالا","أساسيات الأيورفيدا في يوم, العلاج التقليدي كيرالا",ما هي ورشة الأيورفيدا ليوم واحد في كايرالي غورو؟,كايرالي غورو,Transactional / Commercial,ar,https://kairali.guru/ar/courses/one-day-ayurveda-workshop,"/ar/courses, /ar/contact",SEMrush / supplied research
oap_ru,One-Day Ayurveda Workshop (OAP),ru/courses/one-day-ayurveda-workshop,ru,Course,one day ayurveda workshop,"введение в аюрведу, аюрведа обучение с нуля","однодневный курс аюрведы, ознакомительное лечение керала",Что представляет собой однодневный воркшоп по Аюрведе в Kairali Guru?,kairali guru,Transactional / Commercial,ru,https://kairali.guru/ru/courses/one-day-ayurveda-workshop,"/ru/courses, /ru/contact",SEMrush / supplied research
tap_en,Three-Day Short-Term Certificate (TAP),en/courses/three-day-ayurveda-certificate,en,Course,short term ayurveda certificate course,"ayurveda certificate course, beginner ayurveda course","ayurvedic studies, learn ayurvedic massage basics, how long does an ayurveda certification course take",What is the 3-day short-term Ayurveda Certificate course?,kairali guru,Transactional / Commercial,en,https://kairali.guru/en/courses/three-day-ayurveda-certificate,"/en/courses, /en/contact",SEMrush / supplied research
tap_de,Three-Day Short-Term Certificate (TAP),de/courses/three-day-ayurveda-certificate,de,Course,short term ayurveda certificate course,"Ayurveda Zertifikatskurs, Ayurveda Kurzfortbildung","Ayurveda Massage lernen, Ayurvedische Lebensweise Einführung",Was beinhaltet der 3-tägige Ayurveda-Zertifikatskurs bei Kairali Guru?,kairali guru,Transactional / Commercial,de,https://kairali.guru/de/courses/three-day-ayurveda-certificate,"/de/courses, /de/contact",SEMrush / supplied research
tap_fr,Three-Day Short-Term Certificate (TAP),fr/courses/three-day-ayurveda-certificate,fr,Course,short term ayurveda certificate course,"certificat ayurveda 3 jours, praticien ayurveda débutant","massage ayurvédique bases, apprendre l'ayurveda au kerala",Qu'apprend-on durant le certificat d'Ayurveda de 3 jours chez Kairali Guru ?,kairali guru,Transactional / Commercial,fr,https://kairali.guru/fr/courses/three-day-ayurveda-certificate,"/fr/courses, /fr/contact",SEMrush / supplied research
tap_ar,Three-Day Short-Term Certificate (TAP),ar/courses/three-day-ayurveda-certificate,ar,Course,short term ayurveda certificate course,"شهادة الأيورفيدا كيرالا, دورة تدريبية قصيرة الأيورفيدا","أساسيات تدليك الأيورفيدا, تعلم التدليك الهندي",ما هي شهادة الأيورفيدا قصيرة المدى من 3 أيام؟,كايرالي غورو,Transactional / Commercial,ar,https://kairali.guru/ar/courses/three-day-ayurveda-certificate,"/ar/courses, /ar/contact",SEMrush / supplied research
tap_ru,Three-Day Short-Term Certificate (TAP),ru/courses/three-day-ayurveda-certificate,ru,Course,short term ayurveda certificate course,"сертификат аюрведа за 3 дня, краткосрочные курсы аюрведы в Индии","базовый курс аюрведического массажа, обучение аюрведе в Керале",Что входит в трёхдневный сертификационный курс Аюрведы?,kairali guru,Transactional / Commercial,ru,https://kairali.guru/ru/courses/three-day-ayurveda-certificate,"/ru/courses, /ru/contact",SEMrush / supplied research
