page_name,url,locale,page_type,primary_keyword,assigned_supplied_keywords,aeo_question,seo_title,meta_description,schema,canonical,hreflang,cta,index_status,content_status
Home,/en,en,Home,kairali guru ayurveda training,"kairali guru ayurveda training, ayurveda certification course, kerala ayurveda training",What is Kairali Guru?,Kairali Guru | Authentic Kerala Ayurveda Training & Certification,"Learn authentic Kerala Ayurveda at Kairali Guru. Taught by practicing doctors at our NABH-accredited healing village in Kerala, India. Start online now.","Organization, EducationalOrganization, WebSite",https://kairali.guru/en,en=Kairali Guru | Authentic Kerala Ayurveda Training & Certification,Request Prospectus / Enquire Now,"index, follow",Completed
Home,/de,de,Home,Ayurveda-Ausbildung,"Ayurveda-Ausbildung, Ayurveda Ausbildung Kerala, authentische Ayurveda Ausbildung",Was ist Kairali Guru?,Kairali Guru | Authentische Ayurveda Ausbildung in Kerala,"Lernen Sie authentisches Kerala-Ayurveda bei Kairali Guru. Unterrichtet von Ärzten in unserem Heildorf in Kerala, Indien. Jetzt online starten.","Organization, EducationalOrganization, WebSite",https://kairali.guru/de,en=Kairali Guru | Authentische Ayurveda Ausbildung in Kerala,Request Prospectus / Enquire Now,"index, follow",Completed
Home,/fr,fr,Home,formation Ayurveda,"formation Ayurveda, formation ayurvédique, formation Ayurveda Kerala",Qu'est-ce que Kairali Guru ?,Kairali Guru | Formation Ayurveda Authentique au Kerala,Apprenez l'Ayurveda authentique au Kerala avec Kairali Guru. Formations certifiantes dirigées par des médecins dans notre village de soins en Inde.,"Organization, EducationalOrganization, WebSite",https://kairali.guru/fr,en=Kairali Guru | Formation Ayurveda Authentique au Kerala,Request Prospectus / Enquire Now,"index, follow",Completed
Home,/ar,ar,Home,دورة الأيورفيدا,"دورة الأيورفيدا, تعلم الأيورفيدا, دبلوم الأيورفيدا",ما هو كايرالي غورو؟,كايرالي غورو | دورات الأيورفيدا الأصيلة في كيرالا,تعلّم الأيورفيدا الأصيلة في كيرالا مع كايرالي غورو. دورات تدريبية معتمدة بإشراف أطباء ممارسين في الهند. ابدأ برنامجك التأسيسي عبر الإنترنت اليوم.,"Organization, EducationalOrganization, WebSite",https://kairali.guru/ar,en=كايرالي غورو | دورات الأيورفيدا الأصيلة في كيرالا,Request Prospectus / Enquire Now,"index, follow",Completed
Home,/ru,ru,Home,обучение аюрведе,"обучение аюрведе, курсы аюрведы, обучение аюрведе в Керале",Что такое Kairali Guru?,Kairali Guru | Обучение Аюрведе в Керале и Индии,Аутентичное обучение аюрведе в Керале от Kairali Guru. Сертификационные курсы под руководством практикующих врачей в лечебной деревне с аккредитацией NABH.,"Organization, EducationalOrganization, WebSite",https://kairali.guru/ru,en=Kairali Guru | Обучение Аюрведе в Керале и Индии,Request Prospectus / Enquire Now,"index, follow",Completed
Courses Hub,/en/courses,en,Hub,ayurveda course,"ayurveda course, ayurveda training course, ayurveda certification course",What Ayurveda courses does Kairali Guru offer?,Ayurveda Courses & Certification Programmes | Kairali Guru,"Explore professional Ayurveda courses and certification programmes by Kairali Guru. Residential intensives in Kerala & Delhi, plus online foundation.","CollectionPage, ItemList, BreadcrumbList, FAQPage",https://kairali.guru/en/courses,en=Ayurveda Courses & Certification Programmes | Kairali Guru,Request Prospectus / Enquire Now,"index, follow",Completed
Courses Hub,/de/courses,de,Hub,Ayurveda Ausbildung,"Ayurveda Ausbildung, Ayurveda Zertifikatskurse, Ayurveda-Ausbildung Kosten",Welche Ayurveda-Ausbildungen bietet Kairali Guru an?,Ayurveda-Ausbildungen & Zertifikatskurse | Kairali Guru,Entdecken Sie die Ayurveda-Ausbildungen und Zertifikatskurse von Kairali Guru. Präsenzprogramme in Kerala & Delhi sowie Online-Kurse für Einsteiger.,"CollectionPage, ItemList, BreadcrumbList, FAQPage",https://kairali.guru/de/courses,en=Ayurveda-Ausbildungen & Zertifikatskurse | Kairali Guru,Request Prospectus / Enquire Now,"index, follow",Completed
Courses Hub,/fr/courses,fr,Hub,formation Ayurveda,"formation Ayurveda, formations & certificats en Ayurveda, formation praticien ayurveda",Quelles formations en Ayurveda sont proposées par Kairali Guru ?,Formations & Certifications en Ayurveda | Kairali Guru,"Découvrez notre catalogue de formations et certificats en Ayurveda. Formations intensives au Kerala et à Delhi, et cursus d'initiation en ligne.","CollectionPage, ItemList, BreadcrumbList, FAQPage",https://kairali.guru/fr/courses,en=Formations & Certifications en Ayurveda | Kairali Guru,Request Prospectus / Enquire Now,"index, follow",Completed
Courses Hub,/ar/courses,ar,Hub,دورات وشهادات الأيورفيدا,"دورات وشهادات الأيورفيدا, دورات الأيورفيدا, دبلوم الأيورفيدا",ما هي دورات الأيورفيدا التي يقدمها كايرالي غورو؟,دورات وشهادات الأيورفيدا | كايرالي غورو,استكشف دورات وشهادات الأيورفيدا الاحترافية من كايرالي غورو. برامج حضورية مكثفة في كيرالا ودلهي، وبرامج تأسيسية عبر الإنترنت للمبتدئين.,"CollectionPage, ItemList, BreadcrumbList, FAQPage",https://kairali.guru/ar/courses,en=دورات وشهادات الأيورفيدا | كايرالي غورو,Request Prospectus / Enquire Now,"index, follow",Completed
Courses Hub,/ru/courses,ru,Hub,курсы аюрведы,"курсы аюрведы, сертификационный курс аюрведы, обучение аюрведе стоимость",Какие курсы по Аюрведе предлагает Kairali Guru?,Курсы и Сертификаты по Аюрведе | Kairali Guru,"Изучите профессиональные курсы и сертификаты по аюрведе от Kairali Guru. Очное обучение в Керале и Дели, а также онлайн-курсы для начинающих.","CollectionPage, ItemList, BreadcrumbList, FAQPage",https://kairali.guru/ru/courses,en=Курсы и Сертификаты по Аюрведе | Kairali Guru,Request Prospectus / Enquire Now,"index, follow",Completed
